epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4152,2.31547,3.4817,2.10343,0.3779,0.4669,0.357,0.11695,2.51097,2.41944,2.47653,0.0671602,0.000331715,0.000331715
2,113.435,2.03477,2.0572,1.89573,0.78269,0.51267,0.71805,0.32012,2.04886,1.9961,2.05319,0.034147,0.000651881,0.000651881
3,151.956,1.97006,1.83528,1.84364,0.54808,0.63157,0.61391,0.22589,2.38216,2.05383,2.25837,0.00112066,0.000958846,0.000958846
4,190.085,1.90351,1.6636,1.79607,0.68032,0.75329,0.79356,0.38318,1.88581,1.46855,1.93057,0.0009406,0.0009406,0.0009406
5,228.709,1.86697,1.5628,1.77026,0.75034,0.76418,0.81358,0.40246,1.87573,1.36681,1.92089,0.0009208,0.0009208,0.0009208
6,266.938,1.80989,1.44529,1.72182,0.78152,0.80379,0.84214,0.40883,1.86863,1.28378,1.86912,0.000901,0.000901,0.000901
7,305.308,1.78173,1.39016,1.68144,0.85202,0.82253,0.87491,0.43953,1.7942,1.23994,1.80305,0.0008812,0.0008812,0.0008812
8,343.079,1.75582,1.30608,1.66935,0.75834,0.8286,0.85786,0.43192,1.79418,1.14905,1.81197,0.0008614,0.0008614,0.0008614
9,380.096,1.73396,1.25059,1.63512,0.76529,0.83363,0.85319,0.42829,1.80355,1.16277,1.83197,0.0008416,0.0008416,0.0008416
10,417.465,1.7172,1.22179,1.61901,0.81279,0.86333,0.87454,0.45352,1.7426,1.04212,1.76924,0.0008218,0.0008218,0.0008218
11,455.766,1.69398,1.19533,1.60016,0.85397,0.82522,0.85814,0.43727,1.81305,1.11096,1.80734,0.000802,0.000802,0.000802
12,493.511,1.68154,1.16687,1.59512,0.80575,0.87671,0.88655,0.46896,1.70537,1.00839,1.74079,0.0007822,0.0007822,0.0007822
13,531.359,1.66593,1.14187,1.59112,0.88674,0.86947,0.89782,0.47443,1.7151,0.99888,1.7564,0.0007624,0.0007624,0.0007624
14,569.261,1.64669,1.11169,1.58323,0.8196,0.86346,0.8896,0.47131,1.70015,0.96949,1.73002,0.0007426,0.0007426,0.0007426
15,607.236,1.64319,1.1018,1.56046,0.8613,0.86663,0.87885,0.47564,1.70072,1.03519,1.73603,0.0007228,0.0007228,0.0007228
16,644.876,1.62888,1.08001,1.54629,0.8134,0.87199,0.90106,0.48422,1.65546,0.98197,1.69188,0.000703,0.000703,0.000703
17,682.435,1.63491,1.08242,1.57435,0.82032,0.87834,0.89962,0.48466,1.67828,0.96292,1.71902,0.0006832,0.0006832,0.0006832
18,720.344,1.61055,1.06535,1.54632,0.85191,0.8686,0.901,0.49691,1.62585,0.9306,1.65444,0.0006634,0.0006634,0.0006634
19,758.531,1.59939,1.03009,1.53534,0.86658,0.88096,0.9095,0.50045,1.58948,0.88462,1.63593,0.0006436,0.0006436,0.0006436
20,796.157,1.5872,1.02006,1.53081,0.89496,0.86951,0.90883,0.50374,1.62393,0.87971,1.65476,0.0006238,0.0006238,0.0006238
21,833.585,1.56808,1.00845,1.52096,0.85263,0.9036,0.90361,0.50023,1.63534,0.89633,1.65212,0.000604,0.000604,0.000604
22,871.045,1.56914,0.96083,1.49782,0.9338,0.8375,0.91151,0.51022,1.59998,0.84789,1.63476,0.0005842,0.0005842,0.0005842
23,909.293,1.55742,0.98835,1.48478,0.85809,0.89513,0.90693,0.50352,1.61546,0.8701,1.64701,0.0005644,0.0005644,0.0005644
24,946.892,1.54546,0.95067,1.49548,0.87124,0.88726,0.90731,0.51658,1.57555,0.84488,1.62179,0.0005446,0.0005446,0.0005446
25,984.904,1.53312,0.92587,1.47366,0.84002,0.90424,0.9092,0.51073,1.6061,0.82946,1.62245,0.0005248,0.0005248,0.0005248
26,1022.61,1.54086,0.93159,1.48633,0.86924,0.90369,0.91156,0.50957,1.56266,0.9112,1.59785,0.000505,0.000505,0.000505
27,1060.49,1.49496,0.88677,1.45565,0.86403,0.89811,0.91154,0.51439,1.60052,0.85174,1.64146,0.0004852,0.0004852,0.0004852
28,1098.28,1.5164,0.88085,1.46735,0.86769,0.916,0.91922,0.51496,1.57666,0.80982,1.60819,0.0004654,0.0004654,0.0004654
29,1136.1,1.50014,0.88926,1.45175,0.87441,0.90419,0.91453,0.52262,1.54203,0.83548,1.58192,0.0004456,0.0004456,0.0004456
30,1173.97,1.49201,0.88158,1.45623,0.8903,0.89265,0.91597,0.52139,1.55119,0.76498,1.59092,0.0004258,0.0004258,0.0004258
31,1211.79,1.4816,0.85845,1.44807,0.89024,0.9086,0.92128,0.5229,1.5641,0.76687,1.60175,0.000406,0.000406,0.000406
32,1250,1.47213,0.87039,1.44231,0.87443,0.91402,0.92032,0.52662,1.55898,0.78383,1.59184,0.0003862,0.0003862,0.0003862
33,1287.9,1.45608,0.83547,1.42581,0.89608,0.91143,0.91717,0.52962,1.5273,0.82519,1.56773,0.0003664,0.0003664,0.0003664
34,1325.72,1.45215,0.84594,1.43017,0.87303,0.91695,0.92069,0.53355,1.54032,0.80355,1.57389,0.0003466,0.0003466,0.0003466
35,1363.28,1.44849,0.82646,1.41704,0.89019,0.91727,0.92396,0.53585,1.52915,0.83783,1.56832,0.0003268,0.0003268,0.0003268
36,1401.2,1.44066,0.81272,1.41543,0.88266,0.92126,0.92557,0.53546,1.50464,0.77098,1.55891,0.000307,0.000307,0.000307
37,1439.01,1.4374,0.8045,1.40727,0.90156,0.92286,0.93356,0.54325,1.52157,0.73195,1.56069,0.0002872,0.0002872,0.0002872
38,1476.72,1.41891,0.78508,1.38663,0.88492,0.92516,0.93356,0.54961,1.50206,0.75941,1.54554,0.0002674,0.0002674,0.0002674
39,1514.38,1.42261,0.78258,1.39217,0.88639,0.93668,0.93444,0.55591,1.48842,0.82053,1.52961,0.0002476,0.0002476,0.0002476
40,1552.63,1.41772,0.78579,1.38935,0.90373,0.91644,0.9311,0.54774,1.4699,0.78309,1.52947,0.0002278,0.0002278,0.0002278
41,1615.23,1.4084,0.69449,1.47745,0.9021,0.91834,0.93875,0.55853,1.45574,0.6942,1.5155,0.000208,0.000208,0.000208
42,1652.5,1.38046,0.66541,1.44861,0.90707,0.92969,0.94176,0.5547,1.47388,0.69557,1.51938,0.0001882,0.0001882,0.0001882
43,1690.05,1.37208,0.6599,1.45128,0.91207,0.93167,0.94139,0.56876,1.44928,0.66643,1.50326,0.0001684,0.0001684,0.0001684
44,1727.44,1.34939,0.64807,1.4221,0.92895,0.93647,0.94391,0.5756,1.42392,0.6587,1.48223,0.0001486,0.0001486,0.0001486
45,1764.83,1.34064,0.63855,1.41176,0.9209,0.93568,0.94619,0.5787,1.42996,0.66872,1.48469,0.0001288,0.0001288,0.0001288
46,1802.17,1.33086,0.62665,1.41864,0.91614,0.93644,0.94842,0.5809,1.42433,0.64656,1.47512,0.000109,0.000109,0.000109
47,1839.76,1.32188,0.62465,1.39666,0.92676,0.9373,0.9495,0.58552,1.41569,0.64493,1.46536,8.92e-05,8.92e-05,8.92e-05
48,1878.65,1.32453,0.61028,1.40457,0.92935,0.9338,0.94819,0.58648,1.40738,0.63871,1.4599,6.94e-05,6.94e-05,6.94e-05
49,1916.3,1.29707,0.60762,1.38532,0.92977,0.94153,0.94938,0.58427,1.41969,0.62719,1.47238,4.96e-05,4.96e-05,4.96e-05
50,1953.48,1.29092,0.59825,1.38371,0.93274,0.94059,0.94916,0.58968,1.40156,0.62513,1.45637,2.98e-05,2.98e-05,2.98e-05
